Date,Open,High,Low,Close,Adj Close,Volume
2016-01-19,24.602500915527344,24.662500381469727,23.875,24.165000915527344,21.7938289642334,212350800
2016-01-20,23.774999618530273,24.547500610351562,23.354999542236328,24.197500228881836,21.82314109802246,289337600
2016-01-21,24.264999389648438,24.469999313354492,23.735000610351562,24.075000762939453,21.71265983581543,208646000
2016-01-22,24.657499313354492,25.364999771118164,24.592500686645508,25.354999542236328,22.867055892944336,263202000
2016-01-25,25.3799991607666,25.38249969482422,24.802499771118164,24.860000610351562,22.42063331604004,207178000
2016-01-26,24.982500076293945,25.219999313354492,24.517499923706055,24.997499465942383,22.54463768005371,300308000
2016-01-27,24.010000228881836,24.157499313354492,23.334999084472656,23.354999542236328,21.063308715820312,533478800
2016-01-28,23.447500228881836,23.6299991607666,23.09749984741211,23.522499084472656,21.214372634887695,222715200
2016-01-29,23.697500228881836,24.334999084472656,23.587499618530273,24.334999084472656,21.947147369384766,257666000
2016-02-01,24.11750030517578,24.177499771118164,23.850000381469727,24.107500076293945,21.741968154907227,163774000
2016-02-02,23.854999542236328,24.010000228881836,23.56999969482422,23.6200008392334,21.302309036254883,149428800
2016-02-03,23.75,24.209999084472656,23.520000457763672,24.087499618530273,21.723934173583984,183857200
2016-02-04,23.96500015258789,24.332500457763672,23.797500610351562,24.149999618530273,21.89849090576172,185886800
2016-02-05,24.1299991607666,24.229999542236328,23.422500610351562,23.5049991607666,21.313613891601562,185672400
2016-02-08,23.282499313354492,23.924999237060547,23.260000228881836,23.752500534057617,21.538042068481445,216085600
2016-02-09,23.572500228881836,23.985000610351562,23.482500076293945,23.747499465942383,21.533512115478516,177324800
2016-02-10,23.979999542236328,24.087499618530273,23.524999618530273,23.5674991607666,21.37028694152832,169374400
2016-02-11,23.447500228881836,23.68000030517578,23.147499084472656,23.424999237060547,21.241079330444336,200298800
2016-02-12,23.547500610351562,23.625,23.252500534057617,23.497499465942383,21.30681800842285,161405600
2016-02-16,23.7549991607666,24.212499618530273,23.65250015258789,24.15999984741211,21.907550811767578,196231600
2016-02-17,24.167499542236328,24.552499771118164,24.037500381469727,24.530000686645508,22.243059158325195,179452800
2016-02-18,24.709999084472656,24.72249984741211,24.022499084472656,24.065000534057617,21.821409225463867,156084000
2016-02-19,24.0,24.190000534057617,23.950000762939453,24.010000228881836,21.77153968811035,141496800
2016-02-22,24.077499389648438,24.225000381469727,23.979999542236328,24.219999313354492,21.96196174621582,137123200
2016-02-23,24.100000381469727,24.125,23.637500762939453,23.672500610351562,21.46550750732422,127770400
2016-02-24,23.4950008392334,24.094999313354492,23.329999923706055,24.024999618530273,21.785133361816406,145022800
2016-02-25,24.012500762939453,24.190000534057617,23.8125,24.190000534057617,21.934757232666016,110330800
2016-02-26,24.299999237060547,24.5049991607666,24.145000457763672,24.227500915527344,21.96876335144043,115964400
2016-02-29,24.21500015258789,24.5575008392334,24.162500381469727,24.172500610351562,21.918886184692383,140865200
2016-03-01,24.412500381469727,25.1924991607666,24.354999542236328,25.13249969482422,22.789386749267578,201628400
2016-03-02,25.127500534057617,25.22249984741211,24.90999984741211,25.1875,22.839258193969727,132678400
2016-03-03,25.145000457763672,25.427499771118164,25.112499237060547,25.375,23.009279251098633,147822800
2016-03-04,25.592500686645508,25.9375,25.342500686645508,25.752500534057617,23.351581573486328,184220400
2016-03-07,25.59749984741211,25.707500457763672,25.239999771118164,25.467500686645508,23.0931453704834,143315600
2016-03-08,25.19499969482422,25.440000534057617,25.100000381469727,25.25749969482422,22.902729034423828,126247600
2016-03-09,25.327499389648438,25.395000457763672,25.0674991607666,25.280000686645508,22.923137664794922,108806800
2016-03-10,25.352500915527344,25.559999465942383,25.037500381469727,25.292499542236328,22.93446922302246,134054400
2016-03-11,25.559999465942383,25.56999969482422,25.375,25.565000534057617,23.181568145751953,109632800
2016-03-14,25.477500915527344,25.727500915527344,25.44499969482422,25.6299991607666,23.240503311157227,100304400
2016-03-15,25.989999771118164,26.295000076293945,25.962499618530273,26.145000457763672,23.70749282836914,160270800
2016-03-16,26.15250015258789,26.577499389648438,26.147499084472656,26.49250030517578,24.02259635925293,153214000
2016-03-17,26.3799991607666,26.61750030517578,26.239999771118164,26.450000762939453,23.984058380126953,137682800
2016-03-18,26.584999084472656,26.625,26.297500610351562,26.479999542236328,24.011259078979492,176820800
2016-03-21,26.482500076293945,26.912500381469727,26.28499984741211,26.477500915527344,24.008991241455078,142010800
2016-03-22,26.3125,26.822500228881836,26.302499771118164,26.68000030517578,24.192607879638672,129777600
2016-03-23,26.6200008392334,26.767499923706055,26.475000381469727,26.532499313354492,24.058860778808594,102814000
2016-03-24,26.36750030517578,26.5625,26.22249984741211,26.417499542236328,23.9545841217041,104532000
2016-03-28,26.5,26.547500610351562,26.264999389648438,26.297500610351562,23.845779418945312,77645600
2016-03-29,26.22249984741211,26.947500228881836,26.219999313354492,26.920000076293945,24.410236358642578,124760400
2016-03-30,27.162500381469727,27.604999542236328,27.149999618530273,27.389999389648438,24.8364200592041,182404400
2016-03-31,27.43000030517578,27.475000381469727,27.219999313354492,27.247499465942383,24.707202911376953,103553600
2016-04-01,27.19499969482422,27.5,27.049999237060547,27.497499465942383,24.933897018432617,103496000
2016-04-04,27.604999542236328,28.047500610351562,27.5674991607666,27.780000686645508,25.19005584716797,149424800
2016-04-05,27.377500534057617,27.6825008392334,27.354999542236328,27.452499389648438,24.893091201782227,106314800
2016-04-06,27.5575008392334,27.7450008392334,27.299999237060547,27.739999771118164,25.153785705566406,105616400
